# 単精度の打鍵可能な定数(小数点を除いて1-7桁、e指数-20〜+20)を
# 乱数で探し、tools/l4_mbf_oracle_v2.py の parse_literal で
# fin_algo="exact"(厳密値を1回丸め)とfin_algo="gw"(倍精度経由+
# $CSD、コミットde9e12eで修正済み)が食い違う定数xを見つけたうえで、
# x-round(x)という引き算の式でPRINT出力(単精度6桁・LEN7・
# --fout-algo gw/exact)に差が出るものだけを候補として残した。
# 判定には使わない(測定はしていない)。
#
# 試行4573件中、定数xの時点でEXACT/GWが食い違ったのは20件。
# そのうちPRINT出力まで差が出た式を20件、先頭から採用した。
# 生成コマンド: python3 tools/gen_l4_fin_candidates.py
typed	exact	gw
print -55955.81e+3+55955808	" 0 "	"-4 "
print -.61e+10+6099999744	" 0 "	"-512 "
print .722377e+8-72237696	" 0 "	" 8 "
print -.45325e+9+453249984	" 0 "	"-32 "
print 1039289.e+2-103928896	" 0 "	" 8 "
print -63450.e+4+634499968	" 0 "	"-64 "
print 1.7e+10-16999999488	" 0 "	" 1024 "
print 9.e+9-8999999488	" 0 "	" 1024 "
print -8351.752e+5+835175168	" 0 "	"-64 "
print -53.e+8+5299999744	" 0 "	"-512 "
print -590947.3e+2+59094728	" 0 "	"-4 "
print 6.53524e+8-653523968	" 0 "	" 64 "
print 2.6e+10-25999998976	" 0 "	" 2048 "
print 2600.e+7-25999998976	" 0 "	" 2048 "
print 5.06e+9-5059999744	" 0 "	" 512 "
print -1481.e+6+1480999936	" 0 "	"-128 "
print -.2730e+10+2729999872	" 0 "	"-256 "
print 258.4482e+6-258448192	" 0 "	" 16 "
print -29457.8e+4+294577984	" 0 "	"-32 "
print -.9e+10+8999999488	" 0 "	"-1024 "
