# N88想定の設定(単精度6桁・LEN7、倍精度RSTAR・LG16)で、
# tools/l4_mbf_oracle_v2.py --fout-algo exact と --fout-algo gw が
# 食い違う「打鍵できる10進定数」を乱数で探した候補。判定には使わない
# (測定はしていない。詳細はdocs/notes/l4-mbf-oracle.md「FOUTのexactと
# gwの違い」参照)。
#
# 単精度: 一様乱数(60000件試行)で20件見つかった。
# 倍精度: 一様乱数(200000件試行)で0件だった。
# 生成コマンド: python3 tools/gen_l4_fout_exact_vs_gw_candidates.py
typed	type	exact	gw
-6674145	single	"-6.67414E+06 "	"-6.67415E+06 "
1841145	single	" 1.84114E+06 "	" 1.84115E+06 "
-2627925	single	"-2.62792E+06 "	"-2.62793E+06 "
1249045	single	" 1.24904E+06 "	" 1.24905E+06 "
990860.5	single	" 990860 "	" 990861 "
8112245	single	" 8.11224E+06 "	" 8.11225E+06 "
-834356.5	single	"-834356 "	"-834357 "
-34281.25	single	"-34281.2 "	"-34281.3 "
-6498585	single	"-6.49858E+06 "	"-6.49859E+06 "
4239525	single	" 4.23952E+06 "	" 4.23953E+06 "
-266650.5	single	"-266650 "	"-266651 "
-7646285	single	"-7.64628E+06 "	"-7.64629E+06 "
-3676225	single	"-3.67622E+06 "	"-3.67623E+06 "
5188305	single	" 5.1883E+06 "	" 5.18831E+06 "
-8644825	single	"-8.64482E+06 "	"-8.64483E+06 "
-2533965	single	"-2.53396E+06 "	"-2.53397E+06 "
-56620.25	single	"-56620.2 "	"-56620.3 "
-9023825	single	"-9.02382E+06 "	"-9.02383E+06 "
521736.5	single	" 521736 "	" 521737 "
-5240685	single	"-5.24068E+06 "	"-5.24069E+06 "
