modifier	mod_port	mod_bit	key_port	key_bit
SHIFT	08	6	00	0
SHIFT	08	6	00	1
SHIFT	08	6	00	2
SHIFT	08	6	00	3
SHIFT	08	6	00	4
SHIFT	08	6	00	5
SHIFT	08	6	00	6
SHIFT	08	6	00	7
SHIFT	08	6	01	0
SHIFT	08	6	01	1
SHIFT	08	6	01	2
SHIFT	08	6	01	3
SHIFT	08	6	01	4
SHIFT	08	6	01	5
SHIFT	08	6	01	6
SHIFT	08	6	02	0
SHIFT	08	6	02	1
SHIFT	08	6	02	2
SHIFT	08	6	02	3
SHIFT	08	6	02	4
SHIFT	08	6	02	5
SHIFT	08	6	02	6
SHIFT	08	6	02	7
SHIFT	08	6	03	0
SHIFT	08	6	03	1
SHIFT	08	6	03	2
SHIFT	08	6	03	3
SHIFT	08	6	03	4
SHIFT	08	6	03	5
SHIFT	08	6	03	6
SHIFT	08	6	03	7
SHIFT	08	6	04	0
SHIFT	08	6	04	1
SHIFT	08	6	04	2
SHIFT	08	6	04	3
SHIFT	08	6	04	4
SHIFT	08	6	04	5
SHIFT	08	6	04	6
SHIFT	08	6	04	7
SHIFT	08	6	05	0
SHIFT	08	6	05	1
SHIFT	08	6	05	2
SHIFT	08	6	05	3
SHIFT	08	6	05	4
SHIFT	08	6	05	5
SHIFT	08	6	05	6
SHIFT	08	6	05	7
SHIFT	08	6	06	0
SHIFT	08	6	06	1
SHIFT	08	6	06	2
SHIFT	08	6	06	3
SHIFT	08	6	06	4
SHIFT	08	6	06	5
SHIFT	08	6	06	6
SHIFT	08	6	06	7
SHIFT	08	6	07	0
SHIFT	08	6	07	1
SHIFT	08	6	07	2
SHIFT	08	6	07	3
SHIFT	08	6	07	4
SHIFT	08	6	07	5
SHIFT	08	6	07	6
SHIFT	08	6	0A	5
SHIFT	08	6	0A	6
KANA	08	5	00	0
KANA	08	5	00	1
KANA	08	5	00	2
KANA	08	5	00	3
KANA	08	5	00	4
KANA	08	5	00	5
KANA	08	5	00	6
KANA	08	5	00	7
KANA	08	5	01	0
KANA	08	5	01	1
KANA	08	5	01	2
KANA	08	5	01	3
KANA	08	5	01	4
KANA	08	5	01	5
KANA	08	5	01	6
KANA	08	5	02	0
KANA	08	5	02	1
KANA	08	5	02	2
KANA	08	5	02	3
KANA	08	5	02	4
KANA	08	5	02	5
KANA	08	5	02	6
KANA	08	5	02	7
KANA	08	5	03	0
KANA	08	5	03	1
KANA	08	5	03	2
KANA	08	5	03	3
KANA	08	5	03	4
KANA	08	5	03	5
KANA	08	5	03	6
KANA	08	5	03	7
KANA	08	5	04	0
KANA	08	5	04	1
KANA	08	5	04	2
KANA	08	5	04	3
KANA	08	5	04	4
KANA	08	5	04	5
KANA	08	5	04	6
KANA	08	5	04	7
KANA	08	5	05	0
KANA	08	5	05	1
KANA	08	5	05	2
KANA	08	5	05	3
KANA	08	5	05	4
KANA	08	5	05	5
KANA	08	5	05	6
KANA	08	5	05	7
KANA	08	5	06	0
KANA	08	5	06	1
KANA	08	5	06	2
KANA	08	5	06	3
KANA	08	5	06	4
KANA	08	5	06	5
KANA	08	5	06	6
KANA	08	5	06	7
KANA	08	5	07	0
KANA	08	5	07	1
KANA	08	5	07	2
KANA	08	5	07	3
KANA	08	5	07	4
KANA	08	5	07	5
KANA	08	5	07	6
KANA	08	5	0A	5
KANA	08	5	0A	6
GRPH	08	4	00	0
GRPH	08	4	00	1
GRPH	08	4	00	2
GRPH	08	4	00	3
GRPH	08	4	00	4
GRPH	08	4	00	5
GRPH	08	4	00	6
GRPH	08	4	00	7
GRPH	08	4	01	0
GRPH	08	4	01	1
GRPH	08	4	01	2
GRPH	08	4	01	3
GRPH	08	4	01	4
GRPH	08	4	01	5
GRPH	08	4	01	6
GRPH	08	4	02	0
GRPH	08	4	02	1
GRPH	08	4	02	2
GRPH	08	4	02	3
GRPH	08	4	02	4
GRPH	08	4	02	5
GRPH	08	4	02	6
GRPH	08	4	02	7
GRPH	08	4	03	0
GRPH	08	4	03	1
GRPH	08	4	03	2
GRPH	08	4	03	3
GRPH	08	4	03	4
GRPH	08	4	03	5
GRPH	08	4	03	6
GRPH	08	4	03	7
GRPH	08	4	04	0
GRPH	08	4	04	1
