# 事後(post hoc): l4-s4a〜dの入力へGW16/RSTAR/RSTAR_Bを当てた表。判定には使わない。
# 生成コマンド: python3 tools/gen_l4_s4e_posthoc_inputs.py
typed	GW16	RSTAR	RSTAR_B
1#/3	" .3333333333333333 "	" .3333333333333333 "	" .3333333333333333 "
1#/7	" .1428571428571429 "	" .1428571428571429 "	" .1428571428571429 "
.0001#	" .0001 "	" .0001 "	" .0001 "
1d-17	" 1D-17 "	" 1D-17 "	" 1D-17 "
1d-15	" .000000000000001 "	" .000000000000001 "	" .000000000000001 "
1d-16	" .0000000000000001 "	" 1D-16 "	" 1D-16 "
1.5d-15	" .0000000000000015 "	" .0000000000000015 "	" .0000000000000015 "
1.5d-16	" 1.5D-16 "	" 1.5D-16 "	" 1.5D-16 "
.1234567890123456#	" .1234567890123456 "	" .1234567890123456 "	" .1234567890123456 "
1.234567890123456d-2	" 1.234567890123456D-02 "	" .01234567890123456 "	" .01234567890123456 "
1#/3000	" 3.333333333333333D-04 "	" 3.333333333333333D-04 "	" 3.333333333333333D-04 "
.001234567890123456#	" 1.234567890123456D-03 "	" 1.234567890123456D-03 "	" 1.234567890123456D-03 "
1.23456789012345d-3	" 1.23456789012345D-03 "	" 1.23456789012345D-03 "	" 1.23456789012345D-03 "
1.23d-15	" 1.23D-15 "	" 1.23D-15 "	" 1.23D-15 "
1.234d-15	" 1.234D-15 "	" 1.234D-15 "	" 1.234D-15 "
1.2345d-15	" 1.2345D-15 "	" 1.2345D-15 "	" 1.2345D-15 "
1#/300	" 3.333333333333333D-03 "	" 3.333333333333333D-03 "	" 3.333333333333333D-03 "
1#/30	" 3.333333333333333D-02 "	" .03333333333333333 "	" .03333333333333333 "
1.5d-14	" .000000000000015 "	" .000000000000015 "	" .000000000000015 "

# RSTAR_Bの判定に効く「2進の値(MBFの厳密値)が10進の値より上か下か」
typed	direction
1d-16	below
2d-16	below
3d-16	below
5d-16	above
9d-16	above
1d-15	above
1.5d-15	below
