# l4-s4j 候補: REP10(tools/l4_rep10.py)とGWでPRINT出力が異なる
# 打鍵可能な式。書式はEXACT/GW/REP10とも共通
# (--single-digits 6 --small-rule len --small-len 7 --fout-algo gw)。
# group a=正の指数側(x-c、cは倍精度の整数)、b=負の指数側
# (print xそのまま)、c=単精度どうしの演算のみ(倍精度の定数を
# 使わない、x-y)。判定には使わない(測定はしていない)。
#
# a: 試行50件中8件、b: 試行1371件中8件、c: 試行247件中4件。合計20件のうちEXACTとも異なるものは0件。
# 生成コマンド: python3 tools/gen_l4_s4j_candidates.py
typed	group	EXACT	GW	REP10
print -462158.e+11+46215798020112384	a	" 0 "	" 0 "	"-4294967296 "
print 8.716470e+2-872	a	"-.353027 "	"-.353027 "	"-.352905 "
print -3.11218e+2+311	a	"-.217987 "	"-.217987 "	"-.218018 "
print 79.5621e+8-7956210176	a	" 0 "	" 0 "	" 512 "
print 45.7072e+10-457071984640	a	" 0 "	" 0 "	" 32768 "
print -98060.75e+5+9806074880	a	" 0 "	" 0 "	"-1024 "
print -4.1e+11+409999998976	a	" 0 "	" 0 "	"-32768 "
print 36948.59e+8-3694859124736	a	" 0 "	" 0 "	" 262144 "
print 4343.085e-17	b	" 4.34308E-14 "	" 4.34308E-14 "	" 4.34309E-14 "
print -154904.5e-5	b	"-1.54904 "	"-1.54904 "	"-1.54905 "
print 6474.835e-8	b	" 6.47483E-05 "	" 6.47483E-05 "	" 6.47484E-05 "
print -6.846886e-7	b	"-6.84689E-07 "	"-6.84689E-07 "	"-6.84688E-07 "
print 6790495.e-8	b	" .0679049 "	" .0679049 "	" .067905 "
print 99.89635e-20	b	" 9.98963E-19 "	" 9.98963E-19 "	" 9.98964E-19 "
print -420.7275e-8	b	"-4.20728E-06 "	"-4.20728E-06 "	"-4.20727E-06 "
print -246060.5e-18	b	"-2.4606E-13 "	"-2.4606E-13 "	"-2.46061E-13 "
print -5.17e+5-93.6e+10	c	"-9.36001E+11 "	"-9.36001E+11 "	"-9.36E+11 "
print -5498.e+5-729.3e+11	c	"-7.29305E+13 "	"-7.29305E+13 "	"-7.29306E+13 "
print 805.5561e+11-712.00e+5	c	" 8.05555E+13 "	" 8.05555E+13 "	" 8.05556E+13 "
print 8.418484e+11-784.e+4	c	" 8.41841E+11 "	" 8.41841E+11 "	" 8.4184E+11 "
