# l4-s4k 候補: 倍精度の定数読み取り3候補(DEXACT/DGW/DREP01、
# tools/l4_dmodels.py)でPRINT出力が異なる打鍵可能な式。書式は
# 3候補とも共通(16桁・rstar・--fout-algo gw)。丸めは読み取り側も
# 出力側(l4-s4h)と同じ「半分は絶対値の大きい側」と仮定(未確認)。
# group: pos=正の指数側(x-c)、neg=負の指数側(print xそのまま)、
# hash=#付き小数、intdec=8桁以上の整数+小数(いずれもx-c)。
# 判定には使わない(測定はしていない)。
#
# pos: 試行50件中6件、neg: 試行13件中6件、hash: 試行7件中6件、intdec: 試行17件中6件。合計24件のうちDEXACTとも異なるものは0件。
# 生成コマンド: python3 tools/gen_l4_s4k_candidates.py
typed	group	DEXACT	DGW	DREP01
print -94.19109934972081e+9+94191099350	pos	" .2791900634765625 "	" .2791900634765625 "	" .2791881561279297 "
print 653.51840771e+5-65351841	pos	"-.2290000002831221 "	"-.2290000002831221 "	"-.2289999993517995 "
print -3.92727554683189e+3+3927	pos	"-.275546831889983 "	"-.275546831889983 "	"-.2755468318902103 "
print -55873241579.0376e+2+5587324157904	pos	" .239990234375 "	" .239990234375 "	" .2398681640625 "
print -.993389405919e+3+993	pos	"-.3894059189999979 "	"-.3894059189999979 "	"-.3894059190000547 "
print -9903313.57848797e+2+990331358	pos	" .1512030065059662 "	" .1512030065059662 "	" .1512029618024826 "
print 44830258.58e-27	neg	" 4.483025858D-20 "	" 4.483025858D-20 "	" 4.483025858000001D-20 "
print -60502914070.7982e-26	neg	"-6.05029140707982D-16 "	"-6.05029140707982D-16 "	"-6.050291407079821D-16 "
print 510408418377240.e-35	neg	" 5.1040841837724D-21 "	" 5.1040841837724D-21 "	" 5.104084183772401D-21 "
print -924587.4267939811e-14	neg	"-9.245874267939811D-09 "	"-9.245874267939811D-09 "	"-9.245874267939812D-09 "
print .50168702e-14	neg	" 5.0168702D-15 "	" 5.0168702D-15 "	" 5.016870200000001D-15 "
print 970.7508331932013e-16	neg	" 9.707508331932013D-14 "	" 9.707508331932013D-14 "	" 9.707508331932014D-14 "
print -60965.251#+60965	hash	"-.2510000000002037 "	"-.2510000000002037 "	"-.2509999999992942 "
print 8838.81823239#-8839	hash	"-.1817676099999517 "	"-.1817676099999517 "	"-.1817676099994969 "
print 56.0488324#-56	hash	" .04883240000000022 "	" .04883240000000022 "	" .048832400000002 "
print 300.8#-301	hash	"-.2000000000000028 "	"-.2000000000000028 "	"-.1999999999999957 "
print 6.4731657#-6	hash	" .4731657 "	" .4731657 "	" .4731657000000003 "
print -6603.3065558#+6603	hash	"-.3065557999999555 "	"-.3065557999999555 "	"-.3065558000000692 "
print 74217540.9831-74217541	intdec	"-.01689999923110008 "	"-.01689999923110008 "	"-.01689999736845493 "
print -6248673318.3+6248673318	intdec	"-.2999999523162842 "	"-.2999999523162842 "	"-.3000000715255737 "
print -9334667416809700.5501+9334667416809700	intdec	"-.5 "	"-.5 "	"-.75 "
print 23062638240586.34-23062638240586	intdec	" .33984375 "	" .33984375 "	" .34033203125 "
print 927131996311.090-927131996311	intdec	" .089996337890625 "	" .089996337890625 "	" .0900115966796875 "
print 45972231465890.2479-45972231465890	intdec	" .248046875 "	" .248046875 "	" .2490234375 "
