# l4-s4k 対照: 候補(docs/notes/l4-s4k-candidates.tsv)と同じ形
# (グループpos/neg/hash/intdecそれぞれ)を通るが、DEXACT/DGW/DREP01
# の3方式の予測がすべて一致する式。書式は候補と同じ
# (16桁・rstar・--fout-algo gw)。判定には使わない
# (測定はしていない)。
#
# pos: 3件(試行6)、neg: 3件(試行8)、hash: 3件(試行11)、intdec: 3件(試行3)。合計12件のうち答えが0でないもの10件。
# 生成コマンド: python3 tools/gen_l4_s4k_controls.py
typed	group	DEXACT	DGW	DREP01
print -444520605951.2690e+3+444520605951265	pos	"-4 "	"-4 "	"-4 "
print 472247.522e+19-4722475219999999993577470	pos	" 0 "	" 0 "	" 0 "
print -6690383.3e+13+66903832999999999996	pos	" 0 "	" 0 "	" 0 "
print 4537953411.2149e-21	neg	" 4.5379534112149D-12 "	" 4.5379534112149D-12 "	" 4.5379534112149D-12 "
print 139969513379.96e-16	neg	" 1.3996951337996D-05 "	" 1.3996951337996D-05 "	" 1.3996951337996D-05 "
print 1763290983.85898e-8	neg	" 17.6329098385898 "	" 17.6329098385898 "	" 17.6329098385898 "
print 9969606.5#-9969607	hash	"-.5 "	"-.5 "	"-.5 "
print 664258.89#-664261	hash	"-2.110000000000582 "	"-2.110000000000582 "	"-2.110000000000582 "
print -5229822.9#+5229820	hash	"-2.900000000023283 "	"-2.900000000023283 "	"-2.900000000023283 "
print -1489895380391468.685+1489895380391471	intdec	" 2.3125 "	" 2.3125 "	" 2.3125 "
print -26706989128.8+26706989127	intdec	"-1.800000190734863 "	"-1.800000190734863 "	"-1.800000190734863 "
print -289607539838.3624+289607539834	intdec	"-4.362396240234375 "	"-4.362396240234375 "	"-4.362396240234375 "
