# l4-s4l 候補 v2: v1(23ad7ea)は右辺の定数(x-c形のcのような桁数の
# 多い整数)を1回丸め(DEXACT/DREP01と同じround-half-away固定)で
# 読んでおり、候補DREP10E/DREP10Aの読み方(even/away)を左の定数に
# しか当てていなかったため作り直した。修正後は式のすべての定数に
# 同じ候補の読み方を一貫して当てる
# (_magnitude_drep10_v2、数字の積み上げは常にround-half-awayで
# 統一、指数適用の×10/真の÷10の反復だけがeven/awayでわかれる)。
# 行の並び・typed/group/source列はv1と同じ(v1のtsvから読み込んだ)。
# 判定には使わない(測定はしていない)。
#
# 16行中、DREP10E/DREP10Aがv2でも分かれているのは16行、分かれなくなった(=もう見分けられない)のは0行。
# 生成コマンド: python3 tools/gen_l4_s4l_candidates_v2.py
typed	group	source	DREP10E	DREP10A	DEXACT	DREP01
print 8937451488973898e+7-89374514889738978066432	pos	codex	" 0 "	" 4194304 "	" 2097152 "	" 4194304 "
print 2950953187928057e+7-29509531879280569483264	pos	codex	"-524288 "	" 524288 "	" 524288 "	" 524288 "
print 4944140467464335e+8-494414046746433520926720	pos	codex	"-8388608 "	" 0 "	"-16777216 "	" 0 "
print 7096509499740639e+4-70965094997406390272	pos	codex	"-1024 "	" 0 "	" 0 "	" 0 "
print 4953814120086905e+2-495381412008690496	pos	codex	" 0 "	" 8 "	" 8 "	" 8 "
print 873010505.746e+16-8730105057459999780896768	pos	own	"-268435456 "	" 0 "	" 268435456 "	" 0 "
print -343592116.924708e+17+34359211692470798940897280	pos	own	" 1610612736 "	" 0 "	"-1073741824 "	" 0 "
print -6750711189995.e+19+67507111899949998218228522811392	pos	own	" 0 "	"-6755399441055744 "	"-2251799813685248 "	"-6755399441055744 "
print -962467.4715e+15#+962467471500000002048	hash	own	" 16384 "	" 0 "	" 0 "	" 0 "
print 401385.905e+15#-401385904999999995904	hash	own	"-8192 "	" 0 "	" 8192 "	" 16384 "
print -539473.519274e+15#+539473519273999990784	hash	own	"-8192 "	"-24576 "	"-8192 "	"-24576 "
print 41231.616172e+18#-41231616171999999557632	hash	own	"-1048576 "	" 0 "	" 0 "	" 2097152 "
print 334404098830.4e+11-33440409883039999459328	intdec	own	"-1048576 "	" 0 "	" 524288 "	" 1048576 "
print 53839757269454.9877e+14-5383975726945498721926774784	intdec	own	"-137438953472 "	" 0 "	" 0 "	" 0 "
print -739169058.50e+11+73916905849999998976	intdec	own	" 2048 "	" 0 "	"-2048 "	"-2048 "
print 252666121660.78e+10-2526661216607800000512	intdec	own	"-65536 "	" 0 "	" 0 "	" 0 "
