# l4-s4l 候補: 倍精度の定数読み取りDREP10の2変種
# (DREP10E=round-half-even/DREP10A=round-half-away、
# tools/l4_dmodels.py)でPRINT出力が異なる打鍵可能な式。参照として
# DEXACT・DREP01(l4-s4k)も併記。書式は4候補とも共通
# (16桁・rstar・--fout-algo gw)。
# group: pos=正の指数側(x-c、Codexの5本を含む)、hash=#付き小数+
# 明示指数(正味指数を正にした)、intdec=8桁以上の整数+小数+明示指数
# (同じく正味指数を正にした)。
# neg(負の指数側、真の÷10)は見分ける式が見つからなかった
# (docs/notes/l4-s4l-double-drep10-variants.md参照)。
# source: own=本探索で見つけた式、codex=Codexが分析で示した式。
# 判定には使わない(測定はしていない)。
#
# pos: Codex5件+own3件(試行15)、hash: 4件(試行272)、intdec: 4件(試行28)。合計16件のうちDEXACTとも異なるものは6件。
# 生成コマンド: python3 tools/gen_l4_s4l_candidates.py
typed	group	source	DREP10E	DREP10A	DEXACT	DREP01
print 8937451488973898e+7-89374514889738978066432	pos	codex	" 0 "	" 4194304 "	" 2097152 "	" 4194304 "
print 2950953187928057e+7-29509531879280569483264	pos	codex	" 0 "	" 1048576 "	" 524288 "	" 524288 "
print 4944140467464335e+8-494414046746433520926720	pos	codex	" 0 "	" 8388608 "	"-16777216 "	" 0 "
print 7096509499740639e+4-70965094997406390272	pos	codex	" 0 "	" 1024 "	" 0 "	" 0 "
print 4953814120086905e+2-495381412008690496	pos	codex	" 0 "	" 8 "	" 8 "	" 8 "
print 873010505.746e+16-8730105057459999780896768	pos	own	" 0 "	" 268435456 "	" 268435456 "	" 0 "
print -343592116.924708e+17+34359211692470798940897280	pos	own	" 0 "	"-1610612736 "	"-1073741824 "	" 0 "
print -6750711189995.e+19+67507111899949998218228522811392	pos	own	" 0 "	"-6755399441055744 "	"-2251799813685248 "	"-6755399441055744 "
print -962467.4715e+15#+962467471500000002048	hash	own	" 0 "	"-16384 "	" 0 "	" 0 "
print 401385.905e+15#-401385904999999995904	hash	own	" 0 "	" 8192 "	" 8192 "	" 16384 "
print -539473.519274e+15#+539473519273999990784	hash	own	"-8192 "	"-24576 "	"-8192 "	"-24576 "
print 41231.616172e+18#-41231616171999999557632	hash	own	" 0 "	" 1048576 "	" 0 "	" 2097152 "
print 334404098830.4e+11-33440409883039999459328	intdec	own	" 0 "	" 1048576 "	" 524288 "	" 1048576 "
print 53839757269454.9877e+14-5383975726945498721926774784	intdec	own	" 0 "	" 137438953472 "	" 0 "	" 0 "
print -739169058.50e+11+73916905849999998976	intdec	own	" 0 "	"-2048 "	"-2048 "	"-2048 "
print 252666121660.78e+10-2526661216607800000512	intdec	own	" 0 "	" 65536 "	" 0 "	" 0 "
