# l4-s4l 対照 v2: v1(23ad7ea)は右辺の定数を1回丸め
# (round-half-away固定)で読んでいたため作り直した(詳細は
# tools/gen_l4_s4l_candidates_v2.py参照)。行の並び・typed/group列は
# v1と同じ(v1のtsvから読み込んだ)。崩れた対照(4候補が一致しなく
# なった行)は行を外さずに残し、still_control列(yes/no)で印を付けた。
# 判定には使わない(測定はしていない)。
#
# 12行中、崩れた対照(still_control=no)は0行。
# 生成コマンド: python3 tools/gen_l4_s4l_controls_v2.py
typed	group	DREP10E	DREP10A	DEXACT	DREP01	still_control
print -7.726568181e+10+77265681810	pos	" 0 "	" 0 "	" 0 "	" 0 "	yes
print -35343.223e+15+35343223000000000000	pos	" 0 "	" 0 "	" 0 "	" 0 "	yes
print 67.846212096e+8-6784621210	pos	"-.3999999761581421 "	"-.3999999761581421 "	"-.3999999761581421 "	"-.3999999761581421 "	yes
print -.30294072e-22-0	neg	"-3.0294072D-23 "	"-3.0294072D-23 "	"-3.0294072D-23 "	"-3.0294072D-23 "	yes
print 36719385.12e-10-0	neg	" .003671938512 "	" .003671938512 "	" .003671938512 "	" .003671938512 "	yes
print 48514858028.34e-30-0	neg	" 4.851485802834D-20 "	" 4.851485802834D-20 "	" 4.851485802834D-20 "	" 4.851485802834D-20 "	yes
print 2880.44#-2880	hash	" .4399999999999977 "	" .4399999999999977 "	" .4399999999999977 "	" .4399999999999977 "	yes
print -71193.409207#+71193	hash	"-.4092070000006061 "	"-.4092070000006061 "	"-.4092070000006061 "	"-.4092070000006061 "	yes
print -807.4#+807	hash	"-.4000000000000057 "	"-.4000000000000057 "	"-.4000000000000057 "	"-.4000000000000057 "	yes
print 99363111519169.0-99363111519169	intdec	" 0 "	" 0 "	" 0 "	" 0 "	yes
print 828519456.3-828519456	intdec	" .2999999970197678 "	" .2999999970197678 "	" .2999999970197678 "	" .2999999970197678 "	yes
print 16472485943424.1-16472485943424	intdec	" .10009765625 "	" .10009765625 "	" .10009765625 "	" .10009765625 "	yes
