# l4-s4l 対照: 候補(docs/notes/l4-s4l-candidates.tsv)と同じ経路
# (グループpos/neg/hash/intdecそれぞれ)を通るが、DREP10E/DREP10A/
# DEXACT/DREP01の4方式すべての予測が一致する式。書式は候補と同じ
# (16桁・rstar・--fout-algo gw)。判定には使わない
# (測定はしていない)。
#
# pos: 3件(試行3)、neg: 3件(試行5)、hash: 3件(試行8)、intdec: 3件(試行4)。合計12件のうち答えが0でないもの9件。
# 生成コマンド: python3 tools/gen_l4_s4l_controls.py
typed	group	DREP10E	DREP10A	DEXACT	DREP01
print -7.726568181e+10+77265681810	pos	" 0 "	" 0 "	" 0 "	" 0 "
print -35343.223e+15+35343223000000000000	pos	" 0 "	" 0 "	" 0 "	" 0 "
print 67.846212096e+8-6784621210	pos	"-.3999999761581421 "	"-.3999999761581421 "	"-.3999999761581421 "	"-.3999999761581421 "
print -.30294072e-22-0	neg	"-3.0294072D-23 "	"-3.0294072D-23 "	"-3.0294072D-23 "	"-3.0294072D-23 "
print 36719385.12e-10-0	neg	" .003671938512 "	" .003671938512 "	" .003671938512 "	" .003671938512 "
print 48514858028.34e-30-0	neg	" 4.851485802834D-20 "	" 4.851485802834D-20 "	" 4.851485802834D-20 "	" 4.851485802834D-20 "
print 2880.44#-2880	hash	" .4399999999999977 "	" .4399999999999977 "	" .4399999999999977 "	" .4399999999999977 "
print -71193.409207#+71193	hash	"-.4092070000006061 "	"-.4092070000006061 "	"-.4092070000006061 "	"-.4092070000006061 "
print -807.4#+807	hash	"-.4000000000000057 "	"-.4000000000000057 "	"-.4000000000000057 "	"-.4000000000000057 "
print 99363111519169.0-99363111519169	intdec	" 0 "	" 0 "	" 0 "	" 0 "
print 828519456.3-828519456	intdec	" .2999999970197678 "	" .2999999970197678 "	" .2999999970197678 "	" .2999999970197678 "
print 16472485943424.1-16472485943424	intdec	" .10009765625 "	" .10009765625 "	" .10009765625 "	" .10009765625 "
