# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/ALPHA-MINI DOS 1.5.d88
frames    : 1800
type      : (なし)

[測定終了時のテキスト画面]
   0| ALPHA-MINI SYSTEM DISK Version 1.5 Boot
   1| Copyright:saito hideaki [good_software]
   3| How many files(0-15)? 0
   4| NEC N-88 BASIC Version 2.3
   5| Copyright (C) 1981 by Microsoft
   6| 56810 Bytes free
   7| Ok
   8| Welcome ALPHA-mini DOS world!
   9| Ok
  24|       load "        auto          go to         list          run

[メインCPU] 総アクセス回数: exec=15018680 read=14646630 write=4624639 in=55601 out=22506

[メインCPU 実行された番地 (fetch)]
  0000-0001  (2)
  0004-0004  (1)
  0008-000D  (6)
  0010-0012  (3)
  0014-0015  (2)
  0018-0019  (2)
  001C-001C  (1)
  0020-0025  (6)
  0030-0030  (1)
  0033-0033  (1)
  0035-0035  (1)
  0072-0072  (1)
  0075-0077  (3)
  007A-007A  (1)
  0142-0142  (1)
  0144-0145  (2)
  0148-014A  (3)
  014C-014C  (1)
  0154-0154  (1)
  0156-0156  (1)
  0158-0158  (1)
  036F-036F  (1)
  0372-0372  (1)
  0375-0375  (1)
  0378-0378  (1)
  037B-037E  (4)
  0380-0380  (1)
  0383-0384  (2)
  0386-0386  (1)
  0388-0388  (1)
  03F3-03F3  (1)
  03F6-03F6  (1)
  043D-043E  (2)
  0440-0442  (3)
  0444-0445  (2)
  0447-0447  (1)
  0449-044A  (2)
  044C-044C  (1)
  044E-044E  (1)
  047A-047B  (2)
  047D-047D  (1)
  047F-047F  (1)
  0482-0483  (2)
  0486-0486  (1)
  0489-048A  (2)
  048D-048D  (1)
  0490-0490  (1)
  0493-0493  (1)
  0496-0496  (1)
  0499-0499  (1)
  049C-049C  (1)
  049F-049F  (1)
  04A2-04A2  (1)
  04A4-04A4  (1)
  04A7-04A7  (1)
  04AA-04AA  (1)
  04AD-04AE  (2)
  04B1-04B1  (1)
  04B4-04B4  (1)
  04B7-04B8  (2)
  04BB-04BB  (1)
  04BE-04BF  (2)
  04D6-04D6  (1)
  04E2-04E5  (4)
  04E7-04E8  (2)
  04EB-04EB  (1)
  04EE-04EE  (1)
  04F1-04F2  (2)
  04FC-04FD  (2)
  04FF-04FF  (1)
  0502-0503  (2)
  0506-050A  (5)
  050D-050D  (1)
  0510-0512  (3)
  0515-0515  (1)
  05BD-05BD  (1)
  05C0-05C3  (4)
  05C6-05CF  (10)
  05D1-05D1  (1)
  05D3-05D3  (1)
  05DF-05E0  (2)
  05E3-05E7  (5)
  0632-0633  (2)
  0636-0636  (1)
  0639-0639  (1)
  063C-063C  (1)
  063F-063F  (1)
  0642-0644  (3)
  0646-0646  (1)
  0649-064F  (7)
  0652-0659  (8)
  065B-065B  (1)
  065E-065E  (1)
  0660-0660  (1)
  0662-0662  (1)
  0665-0667  (3)
  0669-066B  (3)
  066E-066F  (2)
  0671-0671  (1)
  0673-0673  (1)
  0675-0675  (1)
  0679-0679  (1)
  067C-067C  (1)
  067F-067F  (1)
  0681-0681  (1)
  0684-0689  (6)
  068B-068C  (2)
  068E-0691  (4)
  0694-0694  (1)
  0696-0698  (3)
  069B-069C  (2)
  069E-069E  (1)
  06A0-06A2  (3)
  06A5-06A5  (1)
  06A8-06A8  (1)
  06AB-06AB  (1)
  06AE-06AE  (1)
  06B1-06B2  (2)
  06B5-06B5  (1)
  06B7-06B9  (3)
  06BC-06BD  (2)
  06EB-06EC  (2)
  06EF-06F0  (2)
  06F3-06F3  (1)
  06F6-06F6  (1)
  06F8-06FA  (3)
  06FC-0703  (8)
  0706-0708  (3)
  070A-070A  (1)
  070D-070F  (3)
  0711-0714  (4)
  0717-0718  (2)
  071A-071A  (1)
  071C-071D  (2)
  071F-071F  (1)
  0721-0721  (1)
  0723-0723  (1)
  0725-0725  (1)
  0728-0728  (1)
  072A-072A  (1)
  072C-072C  (1)
  072F-072F  (1)
  0731-0731  (1)
  0734-0736  (3)
  0739-073A  (2)
  0752-0756  (5)
  0759-075A  (2)
  075D-075F  (3)
  0762-0762  (1)
  0765-0768  (4)
  076A-076C  (3)
  076E-076E  (1)
  0780-0782  (3)
  0784-0784  (1)
  0787-078A  (4)
  078C-078D  (2)
  0790-0791  (2)
  0793-0793  (1)
  079A-079A  (1)
  079C-079C  (1)
  07AD-07AE  (2)
  07B0-07B0  (1)
  07B2-07B2  (1)
  07B4-07B4  (1)
  07B7-07B7  (1)
  07B9-07B9  (1)
  07D9-07DC  (4)
  07DF-07E1  (3)
  07E4-07E4  (1)
  082E-082E  (1)
  0831-0833  (3)
  0835-0835  (1)
  0838-083B  (4)
  0840-0840  (1)
  0842-0842  (1)
  0845-0848  (4)
  084B-084B  (1)
  084D-084D  (1)
  084F-084F  (1)
  0851-0851  (1)
  0853-0853  (1)
  0856-0858  (3)
  085B-085C  (2)
  0861-0866  (6)
  0895-0896  (2)
  0898-0898  (1)
  089A-089A  (1)
  089C-089C  (1)
  089E-089E  (1)
  08A0-08A0  (1)
  08A2-08A2  (1)
  08A4-08A5  (2)
  08A8-08A9  (2)
  08AB-08AC  (2)
  08AF-08B1  (3)
  08B3-08B3  (1)
  08B5-08B5  (1)
  08B7-08B7  (1)
  08B9-08B9  (1)
  08BB-08BB  (1)
  08BD-08BE  (2)
  0996-0996  (1)
  0998-0998  (1)
  099A-099A  (1)
  099D-099E  (2)
  09A1-09A1  (1)
  09A4-09A4  (1)
  09A7-09A8  (2)
  09AB-09AB  (1)
  09AE-09AF  (2)
  09B2-09B2  (1)
  09B5-09B7  (3)
  09BA-09BB  (2)
  09BD-09BD  (1)
  09BF-09C0  (2)
  09C3-09C4  (2)
  09C7-09C7  (1)
  09CA-09D0  (7)
  09D3-09D3  (1)
  09D6-09D7  (2)
  09E4-09E6  (3)
  09E9-09EB  (3)
  09ED-09ED  (1)
  09F5-09F5  (1)
  09F7-09F7  (1)
  09FA-09FA  (1)
  09FC-09FC  (1)
  09FF-0A01  (3)
  0A03-0A04  (2)
  0A07-0A0F  (9)
  0A12-0A12  (1)
  0A14-0A15  (2)
  0A17-0A17  (1)
  0A19-0A19  (1)
  0A1B-0A1D  (3)
  0A1F-0A1F  (1)
  0A21-0A21  (1)
  0A23-0A23  (1)
  0A25-0A25  (1)
  0A28-0A2A  (3)
  0A2C-0A2C  (1)
  0A2E-0A30  (3)
  0A33-0A33  (1)
  0A35-0A35  (1)
  0A37-0A37  (1)
  0A39-0A39  (1)
  0A3B-0A3B  (1)
  0A3D-0A3D  (1)
  0A46-0A47  (2)
  0A4A-0A4A  (1)
  0A4C-0A4C  (1)
  0A4F-0A4F  (1)
  0A52-0A58  (7)
  0A5B-0A5D  (3)
  0A5F-0A5F  (1)
  0A62-0A62  (1)
  0A65-0A65  (1)
  0A87-0A87  (1)
  0A89-0A8D  (5)
  0A90-0A90  (1)
  0A92-0A92  (1)
  0A94-0A94  (1)
  0A96-0A96  (1)
  0AA7-0AA7  (1)
  0AAA-0AAA  (1)
  0AAD-0AAD  (1)
  0AAF-0AAF  (1)
  0AB1-0AB1  (1)
  0AB4-0AB4  (1)
  0AB7-0AB7  (1)
  0ABA-0ABA  (1)
  0ABD-0ABD  (1)
  0B34-0B36  (3)
  0B38-0B38  (1)
  0B3B-0B3B  (1)
  0B3D-0B3D  (1)
  0B49-0B49  (1)
  0B4B-0B4B  (1)
  0B4D-0B4D  (1)
  0B4F-0B50  (2)
  0B53-0B53  (1)
  0B56-0B57  (2)
  0B5A-0B5A  (1)
  0B5D-0B62  (6)
  0B65-0B66  (2)
  0B68-0B6F  (8)
  0B71-0B72  (2)
  0B74-0B77  (4)
  0B7C-0B7C  (1)
  0B7E-0B7E  (1)
  0B81-0B81  (1)
  0B84-0B84  (1)
  0B87-0B87  (1)
  0B8A-0B8A  (1)
  0B8D-0B8D  (1)
  0B8F-0B8F  (1)
  0B91-0B91  (1)
  0B93-0B93  (1)
  0B95-0B95  (1)
  0B97-0B97  (1)
  0B99-0B99  (1)
  0C79-0C79  (1)
  0C7B-0C7B  (1)
  0C7D-0C87  (11)
  0C89-0C89  (1)
  0C8B-0C8C  (2)
  0C8E-0C8E  (1)
  0C90-0C90  (1)
  0E54-0E54  (1)
  0E57-0E57  (1)
  0E5A-0E5C  (3)
  0E5F-0E5F  (1)
  0E62-0E62  (1)
  0E64-0E64  (1)
  0E67-0E67  (1)
  0E69-0E69  (1)
  0E6C-0E6C  (1)
  0E6E-0E6E  (1)
  0E71-0E72  (2)
  0E74-0E74  (1)
  0E76-0E76  (1)
  0E78-0E78  (1)
  0E7B-0E7C  (2)
  0E7F-0E81  (3)
  0E8F-0E8F  (1)
  0E92-0E92  (1)
  0E95-0E95  (1)
  0E97-0E97  (1)
  0E9A-0E9A  (1)
  0E9D-0E9E  (2)
  0EB5-0EB5  (1)
  0EB8-0EBA  (3)
  0EBC-0EBC  (1)
  0EBF-0EC0  (2)
  0ECB-0ECB  (1)
  0ECE-0ECF  (2)
  0F8B-0F8B  (1)
  0F8E-0F8E  (1)
  0F91-0F93  (3)
  0F96-0F98  (3)
  0F9B-0F9C  (2)
  0F9F-0F9F  (1)
  0FA2-0FA5  (4)
  0FA8-0FA9  (2)
  11D3-11D4  (2)
  11D6-11D7  (2)
  11D9-11D9  (1)
  11DC-11DC  (1)
  11DF-11DF  (1)
  11E2-11E3  (2)
  11E6-11E6  (1)
  11E9-11E9  (1)
  11EC-11EE  (3)
  11F1-11F1  (1)
  11F3-11F3  (1)
  1350-1350  (1)
  1352-1353  (2)
  1355-1355  (1)
  1357-1357  (1)
  135A-135B  (2)
  135D-135F  (3)
  1362-1362  (1)
  1365-1365  (1)
  1368-1368  (1)
  136B-136B  (1)
  136D-136D  (1)
  1370-1370  (1)
  1373-1374  (2)
  1377-1378  (2)
  137A-137A  (1)
  137C-137C  (1)
  137E-137E  (1)
  1381-1381  (1)
  1383-1383  (1)
  1414-1415  (2)
