# PC88Behavior 割り込み受理ログ
#
# 記録しているのは Z80 が割り込みを受理した事実そのもの——
# 受理時の割り込みモード(im)・intr_ack()が返したレベル(level)・
# 受理直前PC(ret_pc、スタックに積まれる戻り番地)・分岐後の
# ハンドラ入口(handler_pc)・フレーム番号のみ。ROM の内容は含まない。
#
# メインCPUとサブCPUは別々のZ80として並行に走っており、互いの
# seq/frame を比較しても実際の前後関係にはならない。そのため
# 1本の列に混ぜず、CPUごとに節を分けて出す（メイン→サブの順）。
# 同一CPU内の節は seq の昇順＝発生順そのもの。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : (なし)
frames    : 60

# main
# seq  frame  cpu   im  level  ret_pc  handler_pc
     1     27  main   2     2   3925    E80E
     2     27  main   2     2   0FA5    E80E
     3     27  main   2     1   3E7C    E808
     4     28  main   2     1   4333    E808
     5     29  main   2     1   3593    E808
     6     30  main   2     1   3593    E808
     7     31  main   2     1   3593    E808
     8     32  main   2     1   3593    E808
     9     33  main   2     1   3593    E808
    10     34  main   2     1   3593    E808
    11     35  main   2     1   3593    E808
    12     36  main   2     1   3593    E808
    13     37  main   2     1   3593    E808
    14     38  main   2     1   3593    E808
    15     39  main   2     1   3593    E808
    16     40  main   2     1   3593    E808
    17     41  main   2     1   3593    E808
    18     42  main   2     1   3593    E808
    19     43  main   2     1   3593    E808
    20     44  main   2     1   3593    E808
    21     45  main   2     1   7780    E808
    22     46  main   2     1   3593    E808
    23     47  main   2     1   7780    E808
    24     48  main   2     1   3593    E808
    25     49  main   2     1   7780    E808
    26     50  main   2     1   3593    E808
    27     51  main   2     1   7783    E808
    28     52  main   2     1   3593    E808
    29     53  main   2     1   7783    E808
    30     54  main   2     1   3593    E808
    31     55  main   2     1   7783    E808
    32     56  main   2     1   3593    E808
    33     57  main   2     1   3596    E808
    34     58  main   2     1   3593    E808
    35     59  main   2     1   3596    E808
# 取りこぼし: 0件 / 総イベント数: 35件

# sub
# seq  frame  cpu   im  level  ret_pc  handler_pc
# (記録されたイベントなし)
# 取りこぼし: 0件 / 総イベント数: 0件

