# PC88Behavior バスアクセス採取結果
# 記録しているのはアドレスとアクセス種別のみ。ROM の内容は含まない。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : (なし)
frames    : 600
type      : (なし)

[測定終了時のテキスト画面]
   1| How many files(0-15)?
  19|       load "        auto          go to         list          run

[メインCPU] 総アクセス回数: exec=5019141 read=4869253 write=1563198 in=14583 out=4340

[メインCPU 実行された番地 (fetch)]
  0000-0001  (2)
  0004-0004  (1)
  0018-0019  (2)
  001C-001C  (1)
  0020-0025  (6)
  0030-0030  (1)
  0033-0033  (1)
  0035-0035  (1)
  0142-0142  (1)
  0144-0145  (2)
  0148-014A  (3)
  014C-014C  (1)
  0154-0154  (1)
  0156-0156  (1)
  0158-0158  (1)
  043D-043E  (2)
  0440-0442  (3)
  0444-0445  (2)
  0447-0447  (1)
  0449-044A  (2)
  044C-044C  (1)
  044E-044E  (1)
  0F8B-0F8B  (1)
  0F8E-0F8E  (1)
  0F91-0F93  (3)
  0F96-0F98  (3)
  0F9B-0F9C  (2)
  0F9F-0F9F  (1)
  0FA2-0FA5  (4)
  0FA8-0FA9  (2)
  1527-1527  (1)
  1529-1529  (1)
  152B-152D  (3)
  1880-1880  (1)
  1883-1884  (2)
  1887-1887  (1)
  188A-188B  (2)
  188D-188D  (1)
  188F-188F  (1)
  1891-1894  (4)
  1DD4-1DD6  (3)
  1DD9-1DDA  (2)
  1E38-1E38  (1)
  1E3B-1E41  (7)
  1E43-1E48  (6)
  1E4A-1E4A  (1)
  1E4C-1E4C  (1)
  1E53-1E56  (4)
  1E58-1E5B  (4)
  1E5D-1E60  (4)
  1E62-1E6A  (9)
  1E6D-1E71  (5)
  1E73-1E73  (1)
  1E76-1E78  (3)
  1E7A-1E7A  (1)
  1E7C-1E7D  (2)
  1E80-1E81  (2)
  1E84-1E87  (4)
  1E89-1E8B  (3)
  2092-2092  (1)
  2095-2097  (3)
  2099-209A  (2)
  209C-209D  (2)
  20DD-20DE  (2)
  20E1-20E3  (3)
  20E6-20E7  (2)
  20ED-20F4  (8)
  20F7-20F7  (1)
  20F9-20F9  (1)
  20FC-20FC  (1)
  20FF-2104  (6)
  2106-2106  (1)
  21FD-21FD  (1)
  2200-2200  (1)
  2202-2202  (1)
  2205-2205  (1)
  2214-2216  (3)
  222F-222F  (1)
  2232-2232  (1)
  2235-2237  (3)
  2239-2239  (1)
  223B-223B  (1)
  2252-2252  (1)
  2254-2254  (1)
  3080-3082  (3)
  3085-3086  (2)
  3088-3088  (1)
  308A-308A  (1)
  308C-308C  (1)
  308F-308F  (1)
  3092-3092  (1)
  3094-3094  (1)
  3097-3097  (1)
  3099-3099  (1)
  309C-309D  (2)
  30A0-30A0  (1)
  30A2-30A2  (1)
  30A5-30A6  (2)
  30A8-30A9  (2)
  30AC-30AC  (1)
  30AF-30B0  (2)
  30B2-30B2  (1)
  30B5-30B5  (1)
  30B7-30B7  (1)
  30BA-30BB  (2)
  30EE-30F0  (3)
  30F2-30F2  (1)
  30F5-30F8  (4)
  3242-3242  (1)
  3244-3244  (1)
  3247-3247  (1)
  324A-324A  (1)
  324D-324D  (1)
  3250-3250  (1)
  3253-3256  (4)
  3259-3259  (1)
  325C-325C  (1)
  325F-3260  (2)
  32A2-32A2  (1)
  32A5-32A5  (1)
  32A7-32A8  (2)
  32AA-32AB  (2)
  32F1-32F1  (1)
  32F3-3300  (14)
  3302-3302  (1)
  3304-3305  (2)
  3307-3307  (1)
  330A-330A  (1)
  330C-330C  (1)
  330E-330E  (1)
  3310-3310  (1)
  3312-3312  (1)
  3314-3315  (2)
  3317-3317  (1)
  331A-331A  (1)
  331C-331D  (2)
  332D-332E  (2)
  3391-3391  (1)
  34D8-34D8  (1)
  34DA-34DF  (6)
  34E2-34E3  (2)
  34E6-34E8  (3)
  34EA-34EA  (1)
  34ED-34EE  (2)
  34F0-34F0  (1)
  34F3-34F5  (3)
  34F7-34F7  (1)
  34FA-34FD  (4)
  3500-3500  (1)
  3583-3586  (4)
  3589-358A  (2)
  358C-358C  (1)
  358F-3590  (2)
  3593-3593  (1)
  3596-3596  (1)
  3599-359B  (3)
  359E-359E  (1)
