# PC88Behavior 割り込み受理ログ
#
# 記録しているのは Z80 が割り込みを受理した事実そのもの——
# 受理時の割り込みモード(im)・intr_ack()が返したレベル(level)・
# 受理直前PC(ret_pc、スタックに積まれる戻り番地)・分岐後の
# ハンドラ入口(handler_pc)・フレーム番号のみ。ROM の内容は含まない。
#
# メインCPUとサブCPUは別々のZ80として並行に走っており、互いの
# seq/frame を比較しても実際の前後関係にはならない。そのため
# 1本の列に混ぜず、CPUごとに節を分けて出す（メイン→サブの順）。
# 同一CPU内の節は seq の昇順＝発生順そのもの。
#
# clock 列（M6c）は main/sub・iolog/intlog を横断する共通の
# 単調増加通し番号。iolog の clock 列と同じ番号空間を共有して
# いるので、割り込み受理と I/O イベントの前後関係も判定できる
# （小さいほうが先に起きた）。詳細は q88h_clock.h を参照。

core      : $WORKDIR/vendor/quasi88-libretro/quasi88_libretro.dylib
rom-dir   : $PC88_REF_ROM_DIR
disk      : $PC88_REF_DISK_DIR/diskB.d88
frames    : 3600

# main
# seq    clock   frame  cpu   im  level  ret_pc  handler_pc
     1    7554     34  main   2     1   650F    E808
     2    7614     35  main   2     2   6B62    E80E
     3   10423     35  main   2     1   3827    E808
     4  632831    260  main   2     2   9055    9456
     5  632939    260  main   2     2   9184    9456
     6  633073    260  main   2     2   9189    9456
     7  633106    260  main   2     4   9190    9469
     8  633194    261  main   2     2   9191    9456
     9  633328    261  main   2     2   9181    9456
    10  633385    261  main   2     4   9188    9469
    11  633449    261  main   2     2   9189    9456
    12  633584    261  main   2     2   918C    9456
    13  633664    261  main   2     4   9191    9469
    14  633704    261  main   2     2   9182    9456
    15  633839    261  main   2     2   9185    9456
    16  633943    261  main   2     4   9189    9469
    17  634421    262  main   2     2   9189    9456
    18  634423    262  main   2     4   9189    9469
    19  634536    262  main   2     2   918B    9456
    20  634670    262  main   2     2   918D    9456
    21  634701    262  main   2     4   9184    9469
    22  634789    262  main   2     2   9188    9456
    23  634923    262  main   2     2   9189    9456
    24  634978    262  main   2     4   9191    9469
    25  635042    262  main   2     2   9182    9456
    26  635177    262  main   2     2   9185    9456
    27  635256    262  main   2     4   918B    9469
    28  635281    262  main   2     2   9188    9456
    29  635416    263  main   2     2   918B    9456
