## H3: 条件別のバースト先頭バイト分布比較

### d0-boot (バースト数 161)
  0x00: 37件 (23.0%)
  0x01: 29件 (18.0%)
  0x08: 16件 (9.9%)
  0x04: 15件 (9.3%)
  0x0F: 11件 (6.8%)

### d1-files (バースト数 266)
  0x00: 51件 (19.2%)
  0x01: 44件 (16.5%)
  0x04: 29件 (10.9%)
  0x08: 23件 (8.6%)
  0x0F: 19件 (7.1%)

### d2-save (バースト数 373)
  0x00: 66件 (17.7%)
  0x01: 59件 (15.8%)
  0x04: 44件 (11.8%)
  0x08: 30件 (8.0%)
  0x12: 30件 (8.0%)

### d5-seqfile (バースト数 2601)
  0xFF: 418件 (16.1%)
  0x00: 387件 (14.9%)
  0x01: 96件 (3.7%)
  0xC2: 84件 (3.2%)
  0xC1: 81件 (3.1%)
