condition	variant	epoch_ordinal	previous_kind	specify_done	read_done	fdc_done
d0-boot	A	1	none	0	0	0
d0-boot	B	2	K05	1	1	1
d1-files	A	1	none	0	0	0
d1-files	B	2	K05	1	1	1
d2-save	A	1	none	0	0	0
d2-save	B	2	K05	1	1	1
d6-files2	A	1	none	0	0	0
d6-files2	B	2	K05	1	1	1
d7-files3long	A	1	none	0	0	0
d7-files3long	B	2	K05	1	1	1
d8-saveloadrun	A	1	none	0	0	0
d8-saveloadrun	B	2	K05	1	1	1
d9-savekill2	A	1	none	0	0	0
d9-savekill2	B	2	K05	1	1	1
d10-resetboot	A	1	none	0	0	0
d10-resetboot	B	2	K05	1	1	1
d10-resetboot	A	1	reset	0	0	0
d10-resetboot	B	2	K05	1	1	1
d12-v1hboot	A	1	none	0	0	0
d13-v1sboot	A	1	none	0	0	0
