# N88-BASIC 命令語一覧（マニュアル目次からの機械抽出）
# 出典: 環境変数 PC88_REF_MANUAL_TXT が指すマニュアルOCRテキスト
#       （実体は refs/manual.txt。パスは焼き込まない。CLAUDE.md「パスの扱い」）
# 出典sha256: c58a18bdca68e5ce896b0db30042aa33deed5267e7bbb5b44af0bc3e067a53e3
# 生成: tools/l4_extract_keywords.py
# 列: word<TAB>category<TAB>pages
# category: 基本命令(第2章目次) / 拡張命令(第3章目次)
# 同名の語が複数頁に出る場合（MID$/VIEW/WINDOW。関数形と文形の両方が索引にあるため）は1行に統合し、pagesを';'で連結する。
ABS	基本命令	2-1
BEEP	基本命令	2-9
AKCNV$	基本命令	2-2
BLOAD	基本命令	2-10
ASC	基本命令	2-3
BSAVE	基本命令	2-11
ATN	基本命令	2-4
CALL	基本命令	2-12
ATTR$	基本命令	2-5
CDBL	基本命令	2-14
AUTO	基本命令	2-7
CHAIN	基本命令	2-15
CHR$	基本命令	2-18
CINT	基本命令	2-20
CIRCLE	基本命令	2-21
CLEAR	基本命令	2-23
CLOSE	基本命令	2-25
CLS	基本命令	2-27
COLOR	基本命令	2-29
COLOR=	基本命令	2-31
COLOR@	基本命令	2-33
COMMON	基本命令	2-35
COMON/OFF/STOP	基本命令	2-37
CONSOLE	基本命令	2-39
CONT	基本命令	2-41
COPY	基本命令	2-42
COS	基本命令	2-44
CSNG	基本命令	2-45
CSRLIN	基本命令	2-46
CVI/CVS/CVD	基本命令	2-47
DATA	基本命令	2-49
DATE$	基本命令	2-51
DEFFN	基本命令	2-53
DEFINT/SNG/DBL/STR	基本命令	2-54
DEFUSR	基本命令	2-56
DELETE	基本命令	2-58
DIM	基本命令	2-59
DSKF	基本命令	2-61
DSKI$	基本命令	2-63
DSKO$	基本命令	2-65
EDIT	基本命令	2-67
END	基本命令	2-68
EOF	基本命令	2-69
ERASE	基本命令	2-71
ERL/ERR	基本命令	2-72
ERROR	基本命令	2-74
EXP	基本命令	2-76
FIELD	基本命令	2-77
FILES/LFILES	基本命令	2-79
FIX	基本命令	2-80
FOR...TO...STEP-NEXT	基本命令	2-81
FPOS	基本命令	2-83
FRE	基本命令	2-85
GET	基本命令	2-86
GET@	基本命令	2-88
GOSUB-RETURN	基本命令	2-90
GOTO/GOTO	基本命令	2-92
HELPON/OFF/STOP	基本命令	2-93
HEX$	基本命令	2-95
IF...THEN...ELSE/IF...GOTO...ELSE	基本命令	2-96
INKEY$	基本命令	2-97
INP	基本命令	2-98
INPUT	基本命令	2-99
INPUT#	基本命令	2-101
INPUT$	基本命令	2-102
INPUTWAIT	基本命令	2-103
INSTR	基本命令	2-105
INT	基本命令	2-107
KACNV$	基本命令	2-108
KEY	基本命令	2-109
KEYLIST	基本命令	2-111
KEY(N)ON/OFF/STOP	基本命令	2-112
KILL	基本命令	2-114
KLEN	基本命令	2-115
KPLOAD	基本命令	2-116
KPOS	基本命令	2-118
LEFT$	基本命令	2-120
LEN	基本命令	2-122
LET	基本命令	2-123
LINE	基本命令	2-124
LINEINPUT	基本命令	2-126
LINEINPUT#	基本命令	2-127
LINEINPUTWAIT	基本命令	2-128
LIST/LUST	基本命令	2-130
LOAD	基本命令	2-132
LOAD?	基本命令	2-133
LOC	基本命令	2-134
LOCATE	基本命令	2-135
LOF	基本命令	2-136
LOG	基本命令	2-137
LPOS	基本命令	2-138
LSET/RSET	基本命令	2-139
MAP	基本命令	2-141
MERGE	基本命令	2-143
MID$	基本命令	2-144;2-146
MK1$/MKS$/MKD$	基本命令	2-148
MON	基本命令	2-149
MOTOR	基本命令	2-150
NAME	基本命令	2-151
NEW	基本命令	2-152
NEWCMD	基本命令	2-153
NEWON	基本命令	2-154
OCT$	基本命令	2-156
ONCOMGOSUB	基本命令	2-157
ONERRORGOTO	基本命令	2-158
ON...GOSUB/ON...GOTO	基本命令	2-160
ONHELPGOSUB	基本命令	2-161
ONKEYGOSUB	基本命令	2-163
ONSTOPGOSUB	基本命令	2-164
ONTIME$GOSUB	基本命令	2-166
OPEN	基本命令	2-167
OPTIONBASE	基本命令	2-169
OUT	基本命令	2-170
(1)PAINT	基本命令	2-171
(2)PAINT	基本命令	2-172
PEEK	基本命令	2-175
POINT	基本命令	2-176
(1)POINT	基本命令	2-177
(2)POINT	基本命令	2-178
POKE	基本命令	2-179
POS	基本命令	2-180
PRESET	基本命令	2-181
PRINT/LPRINT	基本命令	2-183
PRINT#	基本命令	2-185
PRINTUSING/LPRINTUSING	基本命令	2-187
PRINT#USING	基本命令	2-190
PSET	基本命令	2-191
PUT	基本命令	2-192
PUT@	基本命令	2-193
RANDOMIZE	基本命令	2-196
READ	基本命令	2-197
REM	基本命令	2-198
RENUM	基本命令	2-199
RESTORE	基本命令	2-200
RESUME	基本命令	2-201
RIGHT$	基本命令	2-203
RND	基本命令	2-205
ROLL	基本命令	2-206
RUN	基本命令	2-207
SAVE	基本命令	2-208
SCREEN	基本命令	2-209
SEARCH	基本命令	2-212
SET	基本命令	2-213
SGN	基本命令	2-214
SIN	基本命令	2-215
SPACE$	基本命令	2-216
SPC	基本命令	2-217
SQR	基本命令	2-218
STOP	基本命令	2-219
STOPON/OFF/STOP	基本命令	2-220
STR$	基本命令	2-222
STRING$	基本命令	2-224
SWAP	基本命令	2-225
TAB	基本命令	2-226
TAN	基本命令	2-227
TERM	基本命令	2-228
TIME$	基本命令	2-230
TIME$ON/OFF/STOP	基本命令	2-231
TRON/TROFF	基本命令	2-232
USR	基本命令	2-233
VAL	基本命令	2-235
VARPTR	基本命令	2-236
VIEW	基本命令	2-238;2-240
WAIT	基本命令	2-241
WHILE-WEND	基本命令	2-242
WIDTH	基本命令	2-244
WIDTHLPRINT	基本命令	2-246
WINDOW	基本命令	2-247;2-249
WRITE	基本命令	2-251
WRITE#	基本命令	2-252
CMDBGM	拡張命令	3-7
CMDOUTM	拡張命令	3-8
CMDPAL	拡張命令	3-9
CMDPCM	拡張命令	3-12
CMDPCMLOAD	拡張命令	3-14
CMDPCMPLAY	拡張命令	3-15
CMDPCMRECORD	拡張命令	3-17
CMDPCMSAVE	拡張命令	3-19
CMDPCMSTOP	拡張命令	3-20
CMDPLAY	拡張命令	3-21
CMDRHYTHM	拡張命令	3-34
CMDSOUND	拡張命令	3-37
CMDSTOPM	拡張命令	3-40
CMDVOICELFO	拡張命令	3-50
CMDUNLINK	拡張命令	3-41
CMDVOICEREG	拡張命令	3-52
CMDVOICE	拡張命令	3-42
STATUS	拡張命令	3-53
CMDVOICECOPY	拡張命令	3-49
