# 資料1（資-1、PDF 377頁）N88-BASIC/N88-日本語BASICの予約語一覧の書き起こし（A本）。
# 2人が独立に画像（PDFページを画像化したもの）から書き起こし、親（委譲元セッション）が
# 突き合わせた。189位置で完全一致、B本は3段目32番(LOG)を読み落とし（189語）。
# A本(190語)を正とする。突き合わせの詳細・自己検査は
# tools/l4_extract_keywords_selftest.sh と src/l4_basic/reserved_words_transcript_b.tsv 参照。
# 各語はマニュアルOCRテキスト(refs/manual.txt, refs/manual_squashed.txt)の該当範囲に
# NFKC正規化・空白除去のうえ部分文字列として現れる。ただし IRESET・ISET・MKI$ は
# テキスト側で I が ! に化けている（!RESET・!SET・MK!$）。
# 由来ファイル(このリポジトリに取り込む前、書き起こし時点)のsha256:
#   A本(このファイルの列データの由来): 8abe803eb1f56e20f8a1d8e99ee31c3231485e7eac6d992789653a77f7cd6da8
#   B本: bfff91b02a2f880dddaf3efcba64480a1f179a3c1a3753abbe087a722daaf749
# 列: col(段番号1-6)  row(段の中の行番号1-32)  word(書き起こした語)  confidence(sure/unsure)
col	row	word	confidence
1	1	ABS	sure
1	2	AKCNV$**	sure
1	3	AND	sure
1	4	ASC	sure
1	5	ATN	sure
1	6	ATTR$	sure
1	7	AUTO	sure
1	8	BEEP	sure
1	9	BLOAD	sure
1	10	BSAVE	sure
1	11	CALL	sure
1	12	CDBL	sure
1	13	CHAIN	sure
1	14	CHR$	sure
1	15	CINT	sure
1	16	CIRCLE	sure
1	17	CLEAR	sure
1	18	CLOSE	sure
1	19	CLS	sure
1	20	CMD	sure
1	21	COLOR	sure
1	22	COM	sure
1	23	COMMON	sure
1	24	CONSOLE	sure
1	25	CONT	sure
1	26	COPY	sure
1	27	COS	sure
1	28	CSNG	sure
1	29	CSRLIN	sure
1	30	CVD	sure
1	31	CVI	sure
1	32	CVS	sure
2	1	DATA	sure
2	2	DATE$	sure
2	3	DEF	sure
2	4	DEFDBL	sure
2	5	DEFINT	sure
2	6	DEFSNG	sure
2	7	DEFSTR	sure
2	8	DELETE	sure
2	9	DIM	sure
2	10	DSKF	sure
2	11	DSKI$	sure
2	12	DSKO$	sure
2	13	EDIT	sure
2	14	ELSE	sure
2	15	END	sure
2	16	EOF	sure
2	17	EQV	sure
2	18	ERASE	sure
2	19	ERL	sure
2	20	ERR	sure
2	21	ERROR	sure
2	22	EXP	sure
2	23	FIELD	sure
2	24	FILES	sure
2	25	FIX	sure
2	26	FN	sure
2	27	FOR	sure
2	28	FPOS	sure
2	29	FRE	sure
2	30	GET	sure
2	31	GO TO	sure
2	32	GOSUB	sure
3	1	GOTO	sure
3	2	HELP	sure
3	3	HEX$	sure
3	4	IEEE	sure
3	5	IF	sure
3	6	IMP	sure
3	7	INKEY$	sure
3	8	INP	sure
3	9	INPUT	sure
3	10	INSTR	sure
3	11	INT	sure
3	12	IRESET	sure
3	13	ISET	sure
3	14	KACNV$**	sure
3	15	KANJI	sure
3	16	KEY	sure
3	17	KILL	sure
3	18	KLEN**	sure
3	19	KPLOAD**	sure
3	20	KPOS**	sure
3	21	LEFT$	sure
3	22	LEN	sure
3	23	LET	sure
3	24	LFILES	sure
3	25	LINE	sure
3	26	LIST	sure
3	27	LLIST	sure
3	28	LOAD	sure
3	29	LOC	sure
3	30	LOCATE	sure
3	31	LOF	sure
3	32	LOG	sure
4	1	LPOS	sure
4	2	LPRINT	sure
4	3	LSET	sure
4	4	MAP	sure
4	5	MERGE	sure
4	6	MID$	sure
4	7	MKD$	sure
4	8	MKI$	sure
4	9	MKS$	sure
4	10	MOD	sure
4	11	MON	sure
4	12	MOTOR	sure
4	13	NAME	sure
4	14	NEW	sure
4	15	NEXT	sure
4	16	NOT	sure
4	17	OCT$	sure
4	18	OFF	sure
4	19	ON	sure
4	20	OPEN	sure
4	21	OPTION	sure
4	22	OR	sure
4	23	OUT	sure
4	24	PAINT	sure
4	25	PEEK	sure
4	26	PEN	sure
4	27	POINT	sure
4	28	POKE	sure
4	29	POLL	sure
4	30	POS	sure
4	31	PRESET	sure
4	32	PRINT	sure
5	1	PSET	sure
5	2	PUT	sure
5	3	RANDOMIZE	sure
5	4	RBYTE	sure
5	5	READ	sure
5	6	REM	sure
5	7	RENUM	sure
5	8	RESTORE	sure
5	9	RESUME	sure
5	10	RETURN	sure
5	11	RIGHT$	sure
5	12	RND	sure
5	13	ROLL	sure
5	14	RSET	sure
5	15	RUN	sure
5	16	SAVE	sure
5	17	SCREEN	sure
5	18	SEARCH	sure
5	19	SET	sure
5	20	SGN	sure
5	21	SIN	sure
5	22	SPACE$	sure
5	23	SPC(	sure
5	24	SQR	sure
5	25	SRQ	sure
5	26	STATUS	sure
5	27	STEP	sure
5	28	STOP	sure
5	29	STR$	sure
5	30	STRING$	sure
5	31	SWAP	sure
5	32	TAB(	sure
6	1	TAN	sure
6	2	TERM	sure
6	3	THEN	sure
6	4	TIME$	sure
6	5	TO	sure
6	6	TROFF	sure
6	7	TRON	sure
6	8	USING	sure
6	9	USR	sure
6	10	VAL	sure
6	11	VARPTR	sure
6	12	VIEW	sure
6	13	WAIT	sure
6	14	WBYTE	sure
6	15	WEND	sure
6	16	WHILE	sure
6	17	WIDTH	sure
6	18	WINDOW	sure
6	19	WRITE	sure
6	20	XOR	sure
6	21	+	sure
6	22	-	sure
6	23	*	sure
6	24	/	sure
6	25	^	sure
6	26	¥	sure
6	27	'	sure
6	28	>	sure
6	29	=	sure
6	30	<	sure
