# 生成: src/l4_basic/make_token_table.py（手で編集しない。再実行で再生成する）
# 入力: src/l4_basic/keywords.tsv（word列のみ使用。大文字ASCII辞書順に並べ替えて番号を振る）
# 規則: docs/notes/l4-token-design.md「追記（2026-09-15、番号の振り方 — 開発者判断）」
# 列: word<TAB>token（1バイトは0xNN、拡張は '0xFF 0xNN' の2バイトを空白区切りで表記）
(1)PAINT	0x80
(1)POINT	0x81
(2)PAINT	0x82
(2)POINT	0x83
ABS	0x84
AKCNV$	0x85
ASC	0x86
ATN	0x87
ATTR$	0x88
AUTO	0x89
BEEP	0x8A
BLOAD	0x8B
BSAVE	0x8C
CALL	0x8D
CDBL	0x8E
CHAIN	0x8F
CHR$	0x90
CINT	0x91
CIRCLE	0x92
CLEAR	0x93
CLOSE	0x94
CLS	0x95
CMDBGM	0x96
CMDOUTM	0x97
CMDPAL	0x98
CMDPCM	0x99
CMDPCMLOAD	0x9A
CMDPCMPLAY	0x9B
CMDPCMRECORD	0x9C
CMDPCMSAVE	0x9D
CMDPCMSTOP	0x9E
CMDPLAY	0x9F
CMDRHYTHM	0xA0
CMDSOUND	0xA1
CMDSTOPM	0xA2
CMDUNLINK	0xA3
CMDVOICE	0xA4
CMDVOICECOPY	0xA5
CMDVOICELFO	0xA6
CMDVOICEREG	0xA7
COLOR	0xA8
COLOR=	0xA9
COLOR@	0xAA
COMMON	0xAB
COMON/OFF/STOP	0xAC
CONSOLE	0xAD
CONT	0xAE
COPY	0xAF
COS	0xB0
CSNG	0xB1
CSRLIN	0xB2
CVI/CVS/CVD	0xB3
DATA	0xB4
DATE$	0xB5
DEFFN	0xB6
DEFINT/SNG/DBL/STR	0xB7
DEFUSR	0xB8
DELETE	0xB9
DIM	0xBA
DSKF	0xBB
DSKI$	0xBC
DSKO$	0xBD
EDIT	0xBE
END	0xBF
EOF	0xC0
ERASE	0xC1
ERL/ERR	0xC2
ERROR	0xC3
EXP	0xC4
FIELD	0xC5
FILES/LFILES	0xC6
FIX	0xC7
FOR...TO...STEP-NEXT	0xC8
FPOS	0xC9
FRE	0xCA
GET	0xCB
GET@	0xCC
GOSUB-RETURN	0xCD
GOTO/GOTO	0xCE
HELPON/OFF/STOP	0xCF
HEX$	0xD0
IF...THEN...ELSE/IF...GOTO...ELSE	0xD1
INKEY$	0xD2
INP	0xD3
INPUT	0xD4
INPUT#	0xD5
INPUT$	0xD6
INPUTWAIT	0xD7
INSTR	0xD8
INT	0xD9
KACNV$	0xDA
KEY	0xDB
KEY(N)ON/OFF/STOP	0xDC
KEYLIST	0xDD
KILL	0xDE
KLEN	0xDF
KPLOAD	0xE0
KPOS	0xE1
LEFT$	0xE2
LEN	0xE3
LET	0xE4
LINE	0xE5
LINEINPUT	0xE6
LINEINPUT#	0xE7
LINEINPUTWAIT	0xE8
LIST/LUST	0xE9
LOAD	0xEA
LOAD?	0xEB
LOC	0xEC
LOCATE	0xED
LOF	0xEE
LOG	0xEF
LPOS	0xF0
LSET/RSET	0xF1
MAP	0xF2
MERGE	0xF3
MID$	0xF4
MK1$/MKS$/MKD$	0xF5
MON	0xF6
MOTOR	0xF7
NAME	0xF8
NEW	0xF9
NEWCMD	0xFA
NEWON	0xFB
OCT$	0xFC
ON...GOSUB/ON...GOTO	0xFD
ONCOMGOSUB	0xFE
ONERRORGOTO	0xFF 0x80
ONHELPGOSUB	0xFF 0x81
ONKEYGOSUB	0xFF 0x82
ONSTOPGOSUB	0xFF 0x83
ONTIME$GOSUB	0xFF 0x84
OPEN	0xFF 0x85
OPTIONBASE	0xFF 0x86
OUT	0xFF 0x87
PEEK	0xFF 0x88
POINT	0xFF 0x89
POKE	0xFF 0x8A
POS	0xFF 0x8B
PRESET	0xFF 0x8C
PRINT#	0xFF 0x8D
PRINT#USING	0xFF 0x8E
PRINT/LPRINT	0xFF 0x8F
PRINTUSING/LPRINTUSING	0xFF 0x90
PSET	0xFF 0x91
PUT	0xFF 0x92
PUT@	0xFF 0x93
RANDOMIZE	0xFF 0x94
READ	0xFF 0x95
REM	0xFF 0x96
RENUM	0xFF 0x97
RESTORE	0xFF 0x98
RESUME	0xFF 0x99
RIGHT$	0xFF 0x9A
RND	0xFF 0x9B
ROLL	0xFF 0x9C
RUN	0xFF 0x9D
SAVE	0xFF 0x9E
SCREEN	0xFF 0x9F
SEARCH	0xFF 0xA0
SET	0xFF 0xA1
SGN	0xFF 0xA2
SIN	0xFF 0xA3
SPACE$	0xFF 0xA4
SPC	0xFF 0xA5
SQR	0xFF 0xA6
STATUS	0xFF 0xA7
STOP	0xFF 0xA8
STOPON/OFF/STOP	0xFF 0xA9
STR$	0xFF 0xAA
STRING$	0xFF 0xAB
SWAP	0xFF 0xAC
TAB	0xFF 0xAD
TAN	0xFF 0xAE
TERM	0xFF 0xAF
TIME$	0xFF 0xB0
TIME$ON/OFF/STOP	0xFF 0xB1
TRON/TROFF	0xFF 0xB2
USR	0xFF 0xB3
VAL	0xFF 0xB4
VARPTR	0xFF 0xB5
VIEW	0xFF 0xB6
WAIT	0xFF 0xB7
WHILE-WEND	0xFF 0xB8
WIDTH	0xFF 0xB9
WIDTHLPRINT	0xFF 0xBA
WINDOW	0xFF 0xBB
WRITE	0xFF 0xBC
WRITE#	0xFF 0xBD
