record	candidate_id	arm	physical_row	char_count	sha256
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L0	-	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L1	0	12	8b19835187d553dc234266490f83982bca67c1f200261e5d395be70ed4114eeb
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L1	-	1	f17b7c035cfa2b1d65855bc94f7aee8302e8d99946c788930f240f840e41245c
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L4	0	60	59324f45e521bca8dc675a76e3cf61b06bb9e9c53973af74d9ddafa94c9c3dbb
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L4	-	1	22e87f3989267c9f0b9d56857a6ddeb0e7971be2c3d546dc78147159e082cd8a
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L5	0	76	7afed7a92ff5677ff92c86027cf96b1d66727606124bb8c347babf0905825df7
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L5	-	1	210283275e39fd1394ff8bf88261200eb4b988d101783a13c8249a967a22d604
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L6	0	76	7afed7a92ff5677ff92c86027cf96b1d66727606124bb8c347babf0905825df7
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L6	1	12	be2df4bbb7c2edd01e3590f04f06291e13ffa74810f72b27b18d23f3ace0e36b
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L6	-	2	374a32a364dbecb11e285b96717122dd15b2338a0ac32e0f3a243e6f47b3acc8
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L11	0	76	0ed62239b889b06e75cd1032831548821c5778fde3468ada04644b56011eaeb5
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L11	1	77	fbac0937a6f0fd0cc903022229e6ada75af3b5a1b1821519e67d2e486031c17f
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L11	2	12	21fc711e780ae0fef7971a065e5bb0db989ba96599efcab5ec5c2f7e2f785f56
summary	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L11	-	3	1b272de0cdf9363aef4c67112637ed0611ab476d129454e613ee24ccf95cd64d
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	0	76	432d9263ff34d58feb69085be2d5a915c4010dd70dde7a5c69f6d686043cd430
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	1	76	acf0e4ee8ed8ba63c7aee3e3b1369cc920613b0bbfc8a28809ea170c3ff6da7a
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	2	76	e890e6c8ce30e0255ed4d6f1b146bedb476770ef308cd8263156de4c4392cfad
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	3	76	b6c37dced16389b4a6b1a2bdccf107e91870cbea1965c714ff873660fe8ad96d
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	4	76	26b586d7ec53de4ce9e70d7ef5b866e58980791e495888bedb4a40f841096bfe
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	5	76	f943998f4df5fca86f9b1b55d97dcd356991b9833270936998eebfd9fa084069
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	6	76	e099d90fef8b2f11d290d562c7aaac72fe8499e6a491889b9fee1efbab643845
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	7	76	5b8499c1d6e5bfa3aa43ae7490fb4a72d131d66a450a4090ea4979d41ee1a502
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	8	76	56ec646acb71fee0bbe14ca718ec20eaf6da9b6df2b42e6ca1d76a6939881c90
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	9	76	1e28ad2ed3c707796772e40cd932459ab4311747c6588d2a9b9d8f20b82934e3
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	10	76	45fa3650b765ffd58b6aed0ceb57ed0eaea306ded5843e986b0465dd11eb28c1
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	11	76	6d12730f3aa89bcb844526ccf797d6412f46d148dbc372b4bfb7485d59959c6b
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	12	76	7c18aa74a94dbd1aba788b1adbee28080fd2a47b77b16f6063c930f52afd1cc7
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	13	76	518fd0682181951f3cf866556962e64c084b928a3b6636751f5be5c2e772322d
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	14	76	6610f3afc58101bfb90bdbed2e3b5bcc20e4d0d4cb175282b571dce562e53785
row	files_layout_rule_G5_SPLIT63_80DOT_00BLANK_UNITS	L96	15	76	920914ee4b4e247e16e9e1649779aedc3b485050e1755b63550710750477ea00
